Year,Location,Bedrooms,Property_type,Rent
2009,"Inchicore, Dublin 8",All bedrooms,All property types,1077.71
2009,"Islandbridge, Dublin 8",All bedrooms,All property types,1056.27
2009,"Kilmainham , Dublin 8",All bedrooms,All property types,1091.53
2009,"Portobello, Dublin 8",All bedrooms,All property types,968.36
2009,"Rialto, Dublin 8",All bedrooms,All property types,1018.39
2009,"South Circular Road, Dublin 8",All bedrooms,All property types,980.98
2009,"The Coombe, Dublin 8",All bedrooms,All property types,1073.24
2009,Dublin 9,All bedrooms,All property types,1097.65
2009,"Ballymun, Dublin 9",All bedrooms,All property types,927.26
2009,"Beaumont, Dublin 9",All bedrooms,All property types,1138.97
2009,"Drumcondra, Dublin 9",All bedrooms,All property types,1093.09
2009,"Glasnevin, Dublin 9",All bedrooms,All property types,1095.15
2009,"Santry, Dublin 9",All bedrooms,All property types,1113.59
2009,"Whitehall, Dublin 9",All bedrooms,All property types,1091.48
2009,Dublin 10,All bedrooms,All property types,1036.16
2009,"Ballyfermot, Dublin 10",All bedrooms,All property types,1047.84
2009,"Cherry Orchard, Dublin 10",All bedrooms,All property types,972.36
2009,Dublin 11,All bedrooms,All property types,1052.94
2009,"Ballymun, Dublin 11",All bedrooms,All property types,921.75
2009,"Finglas, Dublin 11",All bedrooms,All property types,1057.25
2009,"Glasnevin, Dublin 11",All bedrooms,All property types,1157.55
2009,"Meakstown, Dublin 11",All bedrooms,All property types,1112.65
2009,"St Margarets Road, Dublin 11",All bedrooms,All property types,1061.88
2009,Dublin 12,All bedrooms,All property types,1132.75
2009,"Crumlin, Dublin 12",All bedrooms,All property types,1084.23
2009,"Drimnagh, Dublin 12",All bedrooms,All property types,1197.15
2009,"Kimmage, Dublin 12",All bedrooms,All property types,1129.34
2009,"Walkinstown, Dublin 12",All bedrooms,All property types,1157.73
2009,Dublin 13,All bedrooms,All property types,1187.97
2009,"Baldoyle, Dublin 13",All bedrooms,All property types,1199.65
2009,"Balgriffin, Dublin 13",All bedrooms,All property types,1229.36
2009,"Clongriffin, Dublin 13",All bedrooms,All property types,1113.57
2009,"Donaghmede, Dublin 13",All bedrooms,All property types,1098.8
2009,"Sutton, Dublin 13",All bedrooms,All property types,1385.56
2009,Dublin 14,All bedrooms,All property types,1401.06
2009,"Churchtown, Dublin 14",All bedrooms,All property types,1476.01
2009,"Clonskeagh, Dublin 14",All bedrooms,All property types,1549.08
2009,"Dundrum, Dublin 14",All bedrooms,All property types,1363.58
2009,"Goatstown, Dublin 14",All bedrooms,All property types,1602.71
2009,"Rathfarnham, Dublin 14",All bedrooms,All property types,1269.07
2009,Dublin 15,All bedrooms,All property types,1122.39
2009,"Ashtown, Dublin 15",All bedrooms,All property types,1113.53
2009,"Blanchardstown, Dublin 15",All bedrooms,All property types,1077.97
2009,"Carpenterstown, Dublin 15",All bedrooms,All property types,1119.65
2009,"Castleknock, Dublin 15",All bedrooms,All property types,1205.1
2009,"Clonee, Dublin 15",All bedrooms,All property types,1077.45
2009,"Clonsilla, Dublin 15",All bedrooms,All property types,1122.84
2009,"Coolmine, Dublin 15",All bedrooms,All property types,1025.63
2009,"Mulhuddart, Dublin 15",All bedrooms,All property types,1041.81
2009,"Ongar, Dublin 15",All bedrooms,All property types,1035.57
2009,"Porterstown, Dublin 15",All bedrooms,All property types,1123.06
2009,"Royal Canal Park, Dublin 15",All bedrooms,All property types,1107.62
2009,"Tyrrelstown, Dublin 15",All bedrooms,All property types,1117.74
2009,Dublin 16,All bedrooms,All property types,1302.34
2009,"Ballinteer, Dublin 16",All bedrooms,All property types,1310.06
2009,"Dundrum, Dublin 16",All bedrooms,All property types,1372.24
2009,"Knocklyon, Dublin 16",All bedrooms,All property types,1263.7
2009,"Rathfarnham, Dublin 16",All bedrooms,All property types,1274.57
2009,"Sandyford, Dublin 16",All bedrooms,All property types,1305.99
2009,Dublin 17,All bedrooms,All property types,1121.66
2009,"Malahide Road, Dublin 17",All bedrooms,All property types,1160.27
2009,"Northern Cross, Dublin 17",All bedrooms,All property types,1026.81
2009,Dublin 18,All bedrooms,All property types,1343.78
2009,"Cabinteely, Dublin 18",All bedrooms,All property types,1299.62
2009,"Carrickmines, Dublin 18",All bedrooms,All property types,1337.64
2009,"Foxrock, Dublin 18",All bedrooms,All property types,1825.41
2009,"Leopardstown, Dublin 18",All bedrooms,All property types,1394.18
2009,"Sandyford, Dublin 18",All bedrooms,All property types,1293.2
2009,"Stepaside, Dublin 18",All bedrooms,All property types,1232.43
2009,Dublin 20,All bedrooms,All property types,1096.6
2009,"Chapelizod, Dublin 20",All bedrooms,All property types,1084.42
2009,"Palmerstown, Dublin 20",All bedrooms,All property types,1119.22
2009,"Clondalkin, Dublin 22",All bedrooms,All property types,1037.33
2009,Dublin 24,All bedrooms,All property types,1063.0
